samplestamps,C1,C2
84153990,-2238.324462890625,-2324.942138671875
84153992,-1849.70556640625,-1915.953369140625
84153994,-158.12002563476562,-156.52914428710938
84153996,1456.08154296875,1512.1236572265625
84153998,1104.5721435546875,1119.193359375
84154000,1148.4937744140625,1171.6424560546875
84154002,864.8023071289062,895.7310180664062
84154004,167.4119110107422,191.75692749023438
84154006,-1778.1451416015625,-1835.37939453125
84154008,-2217.672119140625,-2299.006103515625
84154010,-1251.364990234375,-1295.09130859375
84154012,837.342041015625,877.7245483398438
84154014,1366.3775634765625,1404.749755859375
84154016,1052.700439453125,1073.8096923828125
84154018,1028.43017578125,1061.248779296875
84154020,690.2376708984375,727.4800415039062
84154022,-657.6765747070312,-671.1596069335938
84154024,-2223.574462890625,-2306.7529296875
84154026,-1939.276611328125,-2005.3914794921875
84154028,-338.95263671875,-341.989013671875
84154030,1369.8583984375,1423.188232421875
84154032,1086.79833984375,1099.3758544921875
84154034,1152.8260498046875,1167.771240234375
84154036,945.0191650390625,968.7203369140625
84154038,253.9714813232422,273.6103210449219
84154040,-1619.5224609375,-1687.6353759765625
84154042,-2243.01806640625,-2336.9130859375
84154044,-1355.90185546875,-1413.7176513671875
84154046,712.1527709960938,743.513427734375
84154048,1419.2005615234375,1453.3359375
84154050,1053.5145263671875,1064.6549072265625
84154052,1130.0137939453125,1152.938232421875
84154054,723.6502685546875,747.6962280273438
84154056,-509.5421447753906,-527.1290283203125
84154058,-2141.135498046875,-2228.845458984375
84154060,-1927.0521240234375,-1994.932373046875
84154062,-415.20263671875,-420.3366394042969
84154064,1345.45947265625,1408.8743896484375
84154066,1130.84033203125,1161.12939453125
84154068,1126.3709716796875,1162.8199462890625
84154070,920.2255249023438,958.3650512695312
84154072,322.2131042480469,361.9144592285156
84154074,-1535.98681640625,-1575.0277099609375
